text,label,language
no,0,hi
no,1,hi
no,1,hi
no,0,hi
no,0,hi
no,0,hi
" Fox Host Already Using Tragic EgyptAir Crash As A Way To Boost Trump (VIDEO). Just when you think the right-wing shills at Fox News couldn t possibly get anymore despicable, they go and do just that. By now, everyone has heard of the tragic crash of EgyptAir flight 804 in the vicinity of the Mediterranean Sea after it disappeared from the radar Wednesday night en route from Paris to Cairo. While the rest of the world is reeling from this tragic event, Fox Business host Stuart Varney is busy trying turn it into a way to help elect Donald Trump.Appearing on Fox and Friends less than 24 hours later, Varney insisted that this plane crash would somehow encourage the refugee crisis.  He went on to say: I also think this may be good politically for Donald Trump. He s already tweeted out, saying this is probably terrorism.He s the guy who is saying, hands off, keep Muslims out temporarily whist we figure out who comes in. An incident of this type is surely a plus for Donald Trump. So, in other words, it seems that this imbecile is actually glad that this plane crashed and all of these people lost their lives, just since it helps Trump and makes people more determined to ban Muslims from America than ever. His statements are absolutely disgusting, but, then again, what can we expect from a Trump supporting Fox host?I swear, these people never cease to amaze me with how low they will sink. For once, Fox needs to do the right thing and make Stuart Varney apologize for these appallingly insensitive statements.Watch the video below, via Raw Story:Featured image via video screen capture",1,en
no,1,hi
" WATCH: Trump Assumes Black Reporter Can Set Up A Meeting With Black Lawmakers For Him. After claiming that he s  the least racist person,  Donald trump literally assumed a black reporter could set up a meeting with the Congressional Black Caucus for him.Seriously, that actually happened during Trump s first solo press conference on Thursday.After talking about our inner cities like they are apocalyptic crime-infested war zones, American Urban Radio Networks reporter April Ryan asked Trump if he will work with the Congressional Black Caucus. Trump s response was to assume that because Ryan is black she ll know the CBC members. He then told her to set up a meeting with them as if she is his servant. And then he accused Rep. Elijah Cummings of refusing to meet with him.Ryan: When you say inner cities, are you gonna include the CBC, Mr. President, in the conversations with your urban agenda, your inner city agenda, as well as Trump: Am I gonna am I gonna include who?Ryan: Are you gonna include the Congressional Black Caucus and  Trump: Well, I would. I tell you what, you want to set up the meeting? Do you want to set up the meeting?Ryan: No, no, no I m just a reporter.Trump: Are they friends of yours?Ryan: I know some of them  Trump: No, go ahead, set up the meeting. Let s go. Set up a meeting, I would love to meet with the black caucus. I think it s great, the Congressional Black Caucus, I think it s great. I actually thought I had a meeting with Congressman Cummings, and he was all excited, and then he said, oh, I can t move. It might be bad for me politically. I can t have that meeting. I was all set to have that meeting. You know we called him and called him. And he was all set. I spoke to him on the phone, a nice guy.Ryan: I hear he wanted that meeting with you as well.Trump: He wanted it. But we called called called called. I can t make a meeting with him. Every day, I walk in, I said, I would like to meet with him, because I do want to solve the problem. But he probably was told by Schumer or somebody like that, some other lightweight.He was probably told   he was probably told, don t meet with Trump. It s bad politics. That s part of the problem in this country. Okay. One more.Here s the video via The Washington Post.The fact is, however, that the Congressional Black Caucus has already tried to set up a meeting with Trump but he ignored the letter they sent him.Hi, @realDonaldTrump. We re the CBC. We sent you a letter on January 19, but you never wrote us back. Sad! Letter: https://t.co/58KiuHmITF  The CBC (@OfficialCBC) February 16, 2017And one Twitter user suggested a reason why Trump didn t respond.@OfficialCBC @realDonaldTrump too many words, too few maps.  megan larson (@meganjlarson) February 16, 2017Or, Trump is just a racist and doesn t want to be seen meeting with black people in the White House.Featured image via screenshot",1,en
no,0,hi
